Nr,Siglum,Area,Question,Subq
1,B1,BASIC,Benutzt Ihre Website das https-Protokoll,
2,B2,BASIC,Meldet der Browser beim Aufruf Ihrer Domain ein fehlerhaftes oder abgelaufenes SSL-Zertifikat,
3,B3,BASIC,"Gibt es auf Ihrer Website Seiten, die beim Aufruf eine Fehlermelung des Typs 500 - Server Error auslöst",
4,B4,BASIC,"Gibt es defekte Links oder Fehlerseiten auf der Website, wie z.B. 404 oder 500 Fehler",
5,B5,BASIC,Ist das HTML aller Ihrer Seiten validiert,
6,B6,BASIC,Haben Sie bei allen Ihren Seiten den Seitentitel kontrolliert,
7,C7,CONT,Ist der Inhalt der Website aktuell und relevant,
8,C8,CONT,Ist der Inhalt der Website auf der gesamten Website konsistent,
9,C9,CONT,Wurde beim Erstellen der Inhalte auf die Anforderungen von Suchmaschinen geachtet,
10,C10,CONT,Wurde beim Erstellen der Inhalte an die Bedürfnisse von Menschen mit Behinderung gedacht?,
11,C11,CONT,Sind alle Texte für die Benutzer leicht verständlich,
12,C12,CONT,Gibt es Probleme mit Inhalten ,
13,C13,CONT,Ist der Inhalt der Website für verschiedene Betriebssysteme optimiert,Betriebssysteme
14,C14,CONT,Ist der Inhalt der Website für verschiedene Bildschirmauflösungen optimiert,Bildschirmauflösungen
15,C15,CONT,Ist der Inhalt der Website für verschiedene Bildschirmgrössen optimiert,Bildschirmgrössen
16,C16,CONT,Ist der Inhalt der Website für verschiedene Browser optimiert,Browser
17,C17,CONT,Ist der Inhalt der Website für verschiedene Geräte optimiert,Geräte
18,C18,CONT,Ist der Inhalt der Website für verschiedene Sprachen optimiert,Sprachen
19,C19,CONT,Ist der Inhalt der Website für verschiedene Zeitzonen optimiert,Zeitzonen
20,S20,SEO,Wird die Website in Suchmaschinen gefunden,
21,S21,SEO,Ist Ihre Website im Google-Index,
22,S22,SEO,"Auf welchem Platz der Suchergebnisse erscheint Ihre wichtigste Seite, wenn man nach einem für Sie wichtigen Begriff sucht",
23,S23,SEO,Wann wurde zum letzen Mal eine Ihrer Seiten aktualisiert,
